block,x,y,width,height,rotated,original_width,original_height
b0,262,296,16,36,1,36,16
b1,110,175,39,19,1,19,39
b2,410,45,35,41,1,41,35
b3,187,294,47,18,1,18,47
b4,67,274,32,26,1,26,32
b5,318,281,35,31,0,35,31
b6,425,190,13,29,1,29,13
b7,49,202,28,21,0,28,21
b8,42,4,32,15,0,32,15
b9,264,392,46,34,0,46,34
b10,27,416,45,32,0,45,32
b11,197,165,36,14,1,14,36
b12,109,65,36,42,0,36,42
b13,401,99,48,45,0,48,45
b14,99,417,25,15,1,15,25
b15,57,228,45,46,0,45,46
b16,392,47,18,22,0,18,22
b17,392,190,33,26,0,33,26
b18,135,0,34,19,0,34,19
b19,301,39,12,30,1,30,12
b20,337,395,33,28,1,28,33
b21,233,169,44,39,0,44,39
b22,182,136,39,26,1,26,39
b23,8,165,25,40,1,40,25
b24,279,96,15,25,1,25,15
b25,169,0,36,36,1,36,36
b26,2,368,25,43,1,43,25
b27,411,415,15,34,1,34,15
b28,235,131,46,38,0,46,38
b29,111,28,37,12,1,12,37
b30,357,215,27,17,1,17,27
b31,24,315,16,37,1,37,16
b32,120,360,32,23,1,23,32
b33,26,140,36,18,1,18,36
b34,278,227,38,19,1,19,38
b35,370,149,15,33,0,15,33
b36,295,320,28,12,0,28,12
b37,129,44,16,21,0,16,21
b38,353,269,33,26,0,33,26
b39,237,38,42,30,1,30,42
b40,172,36,41,28,1,28,41
b41,44,57,16,16,1,16,16
b42,105,135,44,19,1,19,44
b43,396,289,40,34,0,40,34
b44,156,178,27,16,0,27,16
b45,183,162,14,37,0,14,37
b46,312,0,48,15,0,48,15
b47,198,249,14,23,1,23,14
b48,206,92,24,26,0,24,26
b49,0,83,31,40,1,40,31
b50,149,136,33,42,0,33,42
b51,145,41,27,48,0,27,48
b52,278,199,37,27,1,27,37
b53,421,344,18,17,1,17,18
b54,353,295,43,16,0,43,16
b55,264,0,46,13,1,13,46
b56,309,336,25,22,1,22,25
b57,214,312,48,19,1,19,48
b58,0,327,19,41,0,19,41
b59,102,228,46,46,1,46,46
b60,76,300,35,30,1,30,35
b61,10,205,34,33,1,33,34
b62,174,204,37,45,0,37,45
b63,205,0,35,15,1,15,35
b64,62,79,47,48,0,47,48
b65,141,194,33,30,1,30,33
b66,110,194,31,31,1,31,31
b67,234,208,44,37,0,44,37
b68,414,219,35,24,0,35,24
b69,301,373,38,19,1,19,38
b70,65,65,36,14,0,36,14
b71,172,378,42,34,0,42,34
b72,357,182,34,33,0,34,33
b73,55,19,18,38,0,18,38
b74,279,40,18,29,1,29,18
b75,310,392,27,23,1,23,27
b76,332,151,14,12,0,14,12
b77,433,416,16,24,1,24,16
b78,148,224,26,43,0,26,43
b79,272,332,37,19,1,19,37
b80,391,228,14,15,0,14,15
b81,339,423,32,20,0,32,20
b82,358,22,33,32,1,32,33
b83,212,234,19,37,0,19,37
b84,348,232,43,37,0,43,37
b85,124,401,48,37,0,48,37
b86,323,312,24,24,1,24,24
b87,313,71,45,19,0,45,19
b88,117,107,43,28,1,28,43
b89,31,78,12,35,0,12,35
b90,22,291,45,24,0,45,24
b91,170,316,44,28,0,44,28
b92,115,302,42,24,0,42,24
b93,92,7,43,21,0,43,21
b94,156,386,16,15,1,15,16
b95,277,174,36,25,0,36,25
b96,262,271,45,25,1,25,45
b97,272,351,28,25,1,25,28
b98,389,323,26,16,1,16,26
b99,7,411,20,37,1,37,20
b100,245,344,27,25,0,27,25
b101,72,377,48,40,1,40,48
b102,271,246,38,25,1,25,38
b103,389,339,32,32,1,32,32
b104,240,13,36,25,0,36,25
b105,222,369,42,31,0,42,31
b106,348,349,39,34,1,34,39
b107,6,258,16,45,1,45,16
b108,158,316,12,33,1,33,12
b109,392,216,22,12,1,12,22
