chip,method,feasible,initial_hpwl,refined_hpwl,accepted_moves,refine_passes,refine_method,runtime_sec
n100,shelf_bfd:narrow,True,250382.0000,250382.0000,0,0,none,0.0048
n100,shelf_bfd:wide,True,250597.0000,250597.0000,0,0,none,0.0048
n100,shelf_bfd:native,True,242944.0000,233349.0000,109,2,exact_maxrect_reinsert,57.6899
n100,shelf:degree_area+narrow,False,,,0,,,0.0005
n100,shelf:degree_area+wide,False,,,0,,,0.0005
n100,shelf:degree_area+native,False,,,0,,,0.0003
n100,shelf:area_degree+narrow,False,,,0,,,0.0004
n100,shelf:area_degree+wide,False,,,0,,,0.0005
n100,shelf:area_degree+native,False,,,0,,,0.0003
n100,shelf:max_side+narrow,True,252335.5000,252335.5000,0,0,none,0.0038
n100,shelf:max_side+wide,False,,,0,,,0.0005
n100,shelf:max_side+native,False,,,0,,,0.0003
n100,shelf:target_xy+narrow,False,,,0,,,0.0005
n100,shelf:target_xy+wide,False,,,0,,,0.0005
n100,shelf:target_xy+native,False,,,0,,,0.0003
n100,shelf:target_yx+narrow,False,,,0,,,0.0004
n100,shelf:target_yx+wide,False,,,0,,,0.0005
n100,shelf:target_yx+native,False,,,0,,,0.0003
n100,shelf:serpentine_x+narrow,False,,,0,,,0.0004
n100,shelf:serpentine_x+wide,False,,,0,,,0.0004
n100,shelf:serpentine_x+native,False,,,0,,,0.0003
n100,shelf:serpentine_y+narrow,False,,,0,,,0.0004
n100,shelf:serpentine_y+wide,False,,,0,,,0.0004
n100,shelf:serpentine_y+native,False,,,0,,,0.0003
n100,shelf:centre_first+narrow,False,,,0,,,0.0004
n100,shelf:centre_first+wide,False,,,0,,,0.0004
n100,shelf:centre_first+native,False,,,0,,,0.0003
n100,shelf:perimeter_first+narrow,False,,,0,,,0.0004
n100,shelf:perimeter_first+wide,False,,,0,,,0.0004
n100,shelf:perimeter_first+native,False,,,0,,,0.0003
n100,shelf:degree_area_rev+narrow,False,,,0,,,0.0004
n100,shelf:degree_area_rev+wide,False,,,0,,,0.0004
n100,shelf:degree_area_rev+native,False,,,0,,,0.0003
n100,shelf:target_xy_rev+narrow,False,,,0,,,0.0004
n100,shelf:target_xy_rev+wide,False,,,0,,,0.0004
n100,shelf:target_xy_rev+native,False,,,0,,,0.0003
n100,maxrects:degree_area+wire,True,224273.0000,220279.0000,44,2,exact_maxrect_reinsert,82.9073
n100,maxrects:degree_area+target,True,246839.5000,246839.5000,0,0,none,4.8719
n100,maxrects:degree_area+fit,True,302361.0000,302361.0000,0,0,none,4.5005
n100,maxrects:area_degree+wire,False,,,0,,,6.0031
n100,maxrects:area_degree+target,True,243190.5000,234380.5000,32,2,exact_maxrect_reinsert,58.5018
