chip,method,feasible,initial_hpwl,refined_hpwl,accepted_moves,refine_passes,refine_method,runtime_sec,fallback_reason
n100,shelf_bfd:narrow,False,,,0,,,0.0014,
n100,shelf_bfd:wide,True,244183.0000,239551.0000,89,2,exact_maxrect_reinsert,36.0672,
n100,shelf_bfd:native,False,,,0,,,0.0012,
n100,shelf:degree_area+narrow,False,,,0,,,0.0005,
n100,shelf:degree_area+wide,False,,,0,,,0.0005,
n100,shelf:degree_area+native,False,,,0,,,0.0003,
n100,shelf:area_degree+narrow,False,,,0,,,0.0004,
n100,shelf:area_degree+wide,False,,,0,,,0.0005,
n100,shelf:area_degree+native,False,,,0,,,0.0003,
n100,shelf:max_side+narrow,False,,,0,,,0.0004,
n100,shelf:max_side+wide,False,,,0,,,0.0005,
n100,shelf:max_side+native,False,,,0,,,0.0003,
n100,shelf:target_xy+narrow,False,,,0,,,0.0004,
n100,shelf:target_xy+wide,False,,,0,,,0.0005,
n100,shelf:target_xy+native,False,,,0,,,0.0003,
n100,shelf:target_yx+narrow,False,,,0,,,0.0004,
n100,shelf:target_yx+wide,False,,,0,,,0.0005,
n100,shelf:target_yx+native,False,,,0,,,0.0003,
n100,shelf:serpentine_x+narrow,False,,,0,,,0.0004,
n100,shelf:serpentine_x+wide,False,,,0,,,0.0005,
n100,shelf:serpentine_x+native,False,,,0,,,0.0003,
n100,shelf:serpentine_y+narrow,False,,,0,,,0.0004,
n100,shelf:serpentine_y+wide,False,,,0,,,0.0005,
n100,shelf:serpentine_y+native,False,,,0,,,0.0003,
n100,shelf:centre_first+narrow,False,,,0,,,0.0004,
n100,shelf:centre_first+wide,False,,,0,,,0.0005,
n100,shelf:centre_first+native,False,,,0,,,0.0003,
n100,shelf:perimeter_first+narrow,False,,,0,,,0.0004,
n100,shelf:perimeter_first+wide,False,,,0,,,0.0005,
n100,shelf:perimeter_first+native,False,,,0,,,0.0003,
n100,shelf:degree_area_rev+narrow,False,,,0,,,0.0004,
n100,shelf:degree_area_rev+wide,False,,,0,,,0.0005,
n100,shelf:degree_area_rev+native,False,,,0,,,0.0003,
n100,shelf:target_xy_rev+narrow,False,,,0,,,0.0004,
n100,shelf:target_xy_rev+wide,False,,,0,,,0.0005,
n100,shelf:target_xy_rev+native,False,,,0,,,0.0003,
n100,maxrects:degree_area+wire,False,,,0,,,3.9626,
n100,maxrects:degree_area+target,False,,,0,,,3.7335,
n100,maxrects:degree_area+fit,False,,,0,,,3.5485,
n100,maxrects:area_degree+wire,False,,,0,,,5.0882,
n100,maxrects:area_degree+target,False,,,0,,,4.0335,
n100,maxrects:area_degree+fit,False,,,0,,,3.6798,
n100,maxrects:target_xy+wire,False,,,0,,,3.0279,
n100,maxrects:target_xy+target,False,,,0,,,4.0843,
n100,maxrects:target_xy+fit,False,,,0,,,3.5101,
n100,maxrects:target_yx+wire,False,,,0,,,5.4901,
n100,maxrects:target_yx+target,False,,,0,,,4.6901,
n100,maxrects:target_yx+fit,False,,,0,,,4.6977,
n200,shelf_bfd:narrow,True,442742.5000,442024.0000,81,2,fast_hpwl_breakpoint,42.3225,
n200,shelf_bfd:wide,False,,,0,,,0.0031,
n200,shelf_bfd:native,True,451675.5000,451160.5000,56,2,fast_hpwl_breakpoint,43.2642,
n200,shelf:degree_area+narrow,False,,,0,,,0.0009,
n200,shelf:degree_area+wide,False,,,0,,,0.0009,
n200,shelf:degree_area+native,False,,,0,,,0.0006,
n200,shelf:area_degree+narrow,False,,,0,,,0.0009,
n200,shelf:area_degree+wide,False,,,0,,,0.0009,
n200,shelf:area_degree+native,False,,,0,,,0.0006,
n200,shelf:max_side+narrow,False,,,0,,,0.0009,
n200,shelf:max_side+wide,False,,,0,,,0.0009,
n200,shelf:max_side+native,False,,,0,,,0.0005,
n200,shelf:target_xy+narrow,False,,,0,,,0.0009,
n200,shelf:target_xy+wide,False,,,0,,,0.0009,
n200,shelf:target_xy+native,False,,,0,,,0.0005,
n200,shelf:target_yx+narrow,False,,,0,,,0.0009,
n200,shelf:target_yx+wide,False,,,0,,,0.0009,
n200,shelf:target_yx+native,False,,,0,,,0.0005,
n200,shelf:serpentine_x+narrow,False,,,0,,,0.0009,
n200,shelf:serpentine_x+wide,False,,,0,,,0.0009,
n200,shelf:serpentine_x+native,False,,,0,,,0.0005,
n200,shelf:serpentine_y+narrow,False,,,0,,,0.0009,
n200,shelf:serpentine_y+wide,False,,,0,,,0.0009,
n200,shelf:serpentine_y+native,False,,,0,,,0.0005,
n200,shelf:centre_first+narrow,False,,,0,,,0.0009,
n200,shelf:centre_first+wide,False,,,0,,,0.0009,
n200,shelf:centre_first+native,False,,,0,,,0.0005,
n200,shelf:perimeter_first+narrow,False,,,0,,,0.0009,
n200,shelf:perimeter_first+wide,False,,,0,,,0.0009,
n200,shelf:perimeter_first+native,False,,,0,,,0.0006,
n200,shelf:degree_area_rev+narrow,False,,,0,,,0.0009,
n200,shelf:degree_area_rev+wide,False,,,0,,,0.0009,
n200,shelf:degree_area_rev+native,False,,,0,,,0.0005,
