chip,side,area_lower_bound,block_side_lower_bound,terminal_coordinate_side,deadspace_ratio,feasible,method,runtime_sec
n100,424,424,67,444,0.0015320248912262327,False,,1.2095
n100,425,424,67,444,0.006261803555411947,False,,1.1989
n100,426,424,67,444,0.01100272421880658,False,,1.2198
n100,427,424,67,444,0.015754786881410132,False,,1.2320
n100,428,424,67,444,0.0205179915432226,False,,1.2614
n100,429,424,67,444,0.025292338204243987,False,,1.2844
n100,430,424,67,444,0.030077826864474293,False,,1.3088
n100,431,424,67,444,0.034874457523913514,False,,1.3695
n100,432,424,67,444,0.03968223018256166,False,,1.3952
n100,433,424,67,444,0.04450114484041871,False,,1.3825
n100,434,424,67,444,0.04933120149748469,False,,1.4423
n100,435,424,67,444,0.05417240015375959,False,,1.4954
n100,436,424,67,444,0.0590247408092434,False,,1.4979
n100,437,424,67,444,0.06388822346393613,False,,1.5143
n100,438,424,67,444,0.06876284811783778,False,,1.5536
n100,439,424,67,444,0.07364861477094835,True,rectpack:MaxRectsBssf:SORT_AREA,0.1505
n200,420,420,48,438,0.004006921045442128,False,,7.2733
n200,421,420,48,438,0.008793598032966032,False,,7.2806
n200,422,420,48,438,0.013591658318914488,False,,7.4912
n200,423,420,48,438,0.018401101903287496,False,,7.7480
n200,424,420,48,438,0.023221928786085057,False,,7.9649
n200,425,420,48,438,0.028054138967307168,False,,7.9865
n200,426,420,48,438,0.03289773244695383,False,,8.0970
n200,427,420,48,438,0.03775270922502504,False,,8.4175
n200,428,420,48,438,0.04261906930152081,False,,8.4407
n200,429,420,48,438,0.047496812676441125,False,,8.6605
n200,430,420,48,438,0.05238593934978599,False,,8.7151
n200,431,420,48,438,0.05728644932155541,False,,8.9478
n200,432,420,48,438,0.06219834259174938,True,rectpack:MaxRectsBssf:SORT_LSIDE,1.8086
n300,523,523,48,548,0.0013141999487498628,False,,20.8425
n300,524,523,48,548,0.005146978072262693,False,,21.2472
n300,525,523,48,548,0.008987077643957975,False,,22.2624
n300,526,523,48,548,0.012834498663835707,False,,22.3697
n300,527,523,48,548,0.01668924113189589,False,,22.6700
n300,528,523,48,548,0.020551305048138523,False,,23.5816
n300,529,523,48,548,0.024420690412563607,False,,23.8389
n300,530,523,48,548,0.028297397225171137,False,,24.6021
n300,531,523,48,548,0.032181425485961125,False,,24.8941
n300,532,523,48,548,0.03607277519493356,False,,24.8442
n300,533,523,48,548,0.03997144635208844,False,,25.7922
n300,534,523,48,548,0.04387743895742578,False,,25.8276
n300,535,523,48,548,0.04779075301094556,False,,26.4045
n300,536,523,48,548,0.0517113885126478,False,,27.0113
n300,537,523,48,548,0.05563934546253249,True,rectpack:MaxRectsBssf:SORT_LSIDE,5.3109
