block,x,y,width,height,rotated,original_width,original_height
b0,198,311,43,33,0,43,33
b1,360,88,65,37,0,65,37
b2,75,187,53,34,0,53,34
b3,17,1,37,67,0,37,67
b4,90,67,29,19,0,29,19
b5,260,389,39,49,0,39,49
b6,289,67,40,18,0,40,18
b7,204,344,22,40,0,22,40
b8,106,247,50,62,0,50,62
b9,131,391,16,41,0,16,41
b10,198,131,18,52,0,18,52
b11,67,249,39,59,0,39,59
b12,111,311,61,28,0,61,28
b13,266,128,48,57,0,48,57
b14,268,344,63,43,0,63,43
b15,384,389,59,52,0,59,52
b16,348,249,36,57,0,36,57
b17,87,1,44,66,0,44,66
b18,0,391,48,51,0,48,51
b19,229,389,31,50,0,31,50
b20,387,229,37,19,0,37,19
b21,147,389,64,50,0,64,50
b22,0,185,49,34,0,49,34
b23,364,391,20,49,0,20,49
b24,277,311,45,28,0,45,28
b25,240,88,54,39,0,54,39
b26,129,86,55,40,0,55,40
b27,372,2,25,65,0,25,65
b28,390,343,39,46,0,39,46
b29,156,249,24,62,0,24,62
b30,159,222,24,26,0,24,26
b31,49,185,26,34,0,26,34
b32,48,391,43,53,0,43,53
b33,338,90,22,35,0,22,35
b34,216,130,27,54,0,27,54
b35,98,88,31,38,0,31,38
b36,171,0,39,67,0,39,67
b37,424,249,20,60,0,20,60
b38,243,128,23,57,0,23,57
b39,146,129,52,55,0,52,55
b40,172,311,26,29,0,26,29
b41,119,128,27,55,0,27,55
b42,57,130,62,53,0,62,53
b43,0,344,61,46,0,61,46
b44,299,391,65,47,0,65,47
b45,331,344,23,44,0,23,44
b46,77,222,39,22,0,39,22
b47,246,188,65,33,0,65,33
b48,0,311,57,27,0,57,27
b49,397,0,47,65,0,47,65
b50,361,311,67,32,0,67,32
b51,314,128,38,57,0,38,57
b52,150,344,54,45,0,54,45
b53,116,222,43,21,0,43,21
b54,406,249,18,61,0,18,61
b55,399,129,34,56,0,34,56
b56,4,68,63,17,1,17,63
b57,211,391,18,47,0,18,47
b58,128,188,46,34,0,46,34
b59,174,185,50,37,0,50,37
b60,280,222,40,23,0,40,23
b61,247,222,33,23,0,33,23
b62,229,67,60,19,0,60,19
b63,354,344,36,45,0,36,45
b64,64,340,47,50,1,50,47
b65,1,128,56,57,1,57,56
b66,0,250,67,61,0,67,61
b67,294,87,44,40,0,44,40
b68,210,3,52,63,0,52,63
b69,57,311,54,27,0,54,27
b70,226,344,42,42,1,42,42
b71,183,227,64,22,0,64,22
b72,221,249,61,61,1,61,61
b73,311,0,61,67,0,61,67
b74,0,86,38,42,0,38,42
b75,425,93,19,28,0,19,28
b76,224,189,22,33,0,22,33
b77,282,251,66,57,0,66,57
b78,241,311,36,32,0,36,32
b79,38,86,60,41,0,60,41
b80,337,67,58,16,1,16,58
b81,91,390,40,50,0,40,50
b82,352,128,47,57,0,47,57
b83,156,67,22,16,0,22,16
b84,320,222,67,22,0,67,22
b85,424,222,20,25,0,20,25
b86,184,88,56,37,0,56,37
b87,111,344,39,44,0,39,44
b88,2,220,37,24,0,37,24
b89,39,222,38,27,0,38,27
b90,322,311,39,33,0,39,33
b91,376,188,56,33,0,56,33
b92,130,67,26,16,0,26,16
b93,311,185,65,35,0,65,35
b94,180,251,41,59,0,41,59
b95,178,67,51,19,0,51,19
b96,131,1,40,66,0,40,66
b97,54,0,17,67,0,17,67
b98,384,249,22,62,0,22,62
b99,262,1,49,66,0,49,66
