chip,method,feasible,initial_hpwl,refined_hpwl,accepted_moves,refine_passes,refine_method,runtime_sec,fallback_reason
n100,shelf_bfd:narrow,False,,,0,,,0.0003,
n100,shelf_bfd:wide,True,244183.0000,239551.0000,89,2,exact_maxrect_reinsert,7.0701,
n100,shelf_bfd:native,False,,,0,,,0.0002,
n100,shelf:degree_area+narrow,False,,,0,,,0.0001,
n100,shelf:degree_area+wide,False,,,0,,,0.0001,
n100,shelf:degree_area+native,False,,,0,,,0.0000,
n100,shelf:area_degree+narrow,False,,,0,,,0.0001,
n100,shelf:area_degree+wide,False,,,0,,,0.0001,
n100,shelf:area_degree+native,False,,,0,,,0.0000,
n100,shelf:max_side+narrow,False,,,0,,,0.0001,
n100,shelf:max_side+wide,False,,,0,,,0.0001,
n100,shelf:max_side+native,False,,,0,,,0.0000,
n100,shelf:target_xy+narrow,False,,,0,,,0.0001,
n100,shelf:target_xy+wide,False,,,0,,,0.0001,
n100,shelf:target_xy+native,False,,,0,,,0.0000,
n100,shelf:target_yx+narrow,False,,,0,,,0.0001,
n100,shelf:target_yx+wide,False,,,0,,,0.0001,
n100,shelf:target_yx+native,False,,,0,,,0.0000,
n100,shelf:serpentine_x+narrow,False,,,0,,,0.0001,
n100,shelf:serpentine_x+wide,False,,,0,,,0.0001,
n100,shelf:serpentine_x+native,False,,,0,,,0.0000,
n100,shelf:serpentine_y+narrow,False,,,0,,,0.0001,
n100,shelf:serpentine_y+wide,False,,,0,,,0.0001,
n100,shelf:serpentine_y+native,False,,,0,,,0.0000,
n100,shelf:centre_first+narrow,False,,,0,,,0.0001,
n100,shelf:centre_first+wide,False,,,0,,,0.0001,
n100,shelf:centre_first+native,False,,,0,,,0.0001,
n100,shelf:perimeter_first+narrow,False,,,0,,,0.0001,
n100,shelf:perimeter_first+wide,False,,,0,,,0.0001,
n100,shelf:perimeter_first+native,False,,,0,,,0.0000,
n100,shelf:degree_area_rev+narrow,False,,,0,,,0.0001,
n100,shelf:degree_area_rev+wide,False,,,0,,,0.0001,
n100,shelf:degree_area_rev+native,False,,,0,,,0.0000,
n100,shelf:target_xy_rev+narrow,False,,,0,,,0.0001,
n100,shelf:target_xy_rev+wide,False,,,0,,,0.0001,
n100,shelf:target_xy_rev+native,False,,,0,,,0.0001,
n100,maxrects:degree_area+wire,False,,,0,,,0.7615,
n100,maxrects:degree_area+target,False,,,0,,,0.6908,
n100,maxrects:degree_area+fit,False,,,0,,,0.6566,
n100,maxrects:area_degree+wire,False,,,0,,,0.9439,
n100,maxrects:area_degree+target,False,,,0,,,0.7609,
n100,maxrects:area_degree+fit,False,,,0,,,0.6919,
n100,maxrects:target_xy+wire,False,,,0,,,0.5850,
n100,maxrects:target_xy+target,False,,,0,,,0.7697,
n100,maxrects:target_xy+fit,False,,,0,,,0.6544,
n100,maxrects:target_yx+wire,False,,,0,,,1.0377,
n100,maxrects:target_yx+target,False,,,0,,,0.8753,
n100,maxrects:target_yx+fit,False,,,0,,,0.8892,
n200,shelf_bfd:narrow,True,442742.5000,442024.0000,81,2,fast_hpwl_breakpoint,7.9121,
n200,shelf_bfd:wide,False,,,0,,,0.0006,
n200,shelf_bfd:native,True,451675.5000,451160.5000,56,2,fast_hpwl_breakpoint,8.0611,
n200,shelf:degree_area+narrow,False,,,0,,,0.0001,
n200,shelf:degree_area+wide,False,,,0,,,0.0001,
n200,shelf:degree_area+native,False,,,0,,,0.0001,
n200,shelf:area_degree+narrow,False,,,0,,,0.0001,
n200,shelf:area_degree+wide,False,,,0,,,0.0001,
n200,shelf:area_degree+native,False,,,0,,,0.0001,
n200,shelf:max_side+narrow,False,,,0,,,0.0001,
n200,shelf:max_side+wide,False,,,0,,,0.0001,
n200,shelf:max_side+native,False,,,0,,,0.0001,
n200,shelf:target_xy+narrow,False,,,0,,,0.0001,
n200,shelf:target_xy+wide,False,,,0,,,0.0001,
n200,shelf:target_xy+native,False,,,0,,,0.0001,
n200,shelf:target_yx+narrow,False,,,0,,,0.0001,
n200,shelf:target_yx+wide,False,,,0,,,0.0001,
n200,shelf:target_yx+native,False,,,0,,,0.0001,
n200,shelf:serpentine_x+narrow,False,,,0,,,0.0001,
n200,shelf:serpentine_x+wide,False,,,0,,,0.0001,
n200,shelf:serpentine_x+native,False,,,0,,,0.0001,
n200,shelf:serpentine_y+narrow,False,,,0,,,0.0001,
n200,shelf:serpentine_y+wide,False,,,0,,,0.0001,
n200,shelf:serpentine_y+native,False,,,0,,,0.0001,
n200,shelf:centre_first+narrow,False,,,0,,,0.0001,
n200,shelf:centre_first+wide,False,,,0,,,0.0001,
n200,shelf:centre_first+native,False,,,0,,,0.0001,
n200,shelf:perimeter_first+narrow,False,,,0,,,0.0001,
n200,shelf:perimeter_first+wide,False,,,0,,,0.0001,
n200,shelf:perimeter_first+native,False,,,0,,,0.0001,
n200,shelf:degree_area_rev+narrow,False,,,0,,,0.0001,
n200,shelf:degree_area_rev+wide,False,,,0,,,0.0001,
n200,shelf:degree_area_rev+native,False,,,0,,,0.0001,
n200,shelf:target_xy_rev+narrow,False,,,0,,,0.0001,
n200,shelf:target_xy_rev+wide,False,,,0,,,0.0001,
n200,shelf:target_xy_rev+native,False,,,0,,,0.0001,
n200,maxrects:degree_area+wire,False,,,0,,,2.7668,
n200,maxrects:degree_area+target,False,,,0,,,2.5422,
n200,maxrects:degree_area+fit,False,,,0,,,2.0858,
n200,maxrects:area_degree+wire,False,,,0,,,2.6449,
n200,maxrects:area_degree+target,False,,,0,,,2.5770,
n200,maxrects:area_degree+fit,False,,,0,,,1.9912,
n200,maxrects:target_xy+wire,False,,,0,,,2.3820,
n200,maxrects:target_xy+target,False,,,0,,,2.9308,
n200,maxrects:target_xy+fit,False,,,0,,,2.7417,
n200,maxrects:target_yx+wire,False,,,0,,,2.9333,
n200,maxrects:target_yx+target,False,,,0,,,3.0577,
n200,maxrects:target_yx+fit,False,,,0,,,2.8182,
n300,shelf_bfd:narrow,True,644858.0000,640695.5000,69,2,fast_hpwl_breakpoint,15.8813,
n300,shelf_bfd:wide,False,,,0,,,0.0008,
n300,shelf_bfd:native,False,,,0,,,0.0008,
n300,shelf:degree_area+narrow,False,,,0,,,0.0003,
n300,shelf:degree_area+wide,False,,,0,,,0.0003,
n300,shelf:degree_area+native,False,,,0,,,0.0001,
n300,shelf:area_degree+narrow,False,,,0,,,0.0002,
n300,shelf:area_degree+wide,False,,,0,,,0.0002,
n300,shelf:area_degree+native,False,,,0,,,0.0001,
n300,shelf:max_side+narrow,False,,,0,,,0.0002,
n300,shelf:max_side+wide,False,,,0,,,0.0002,
n300,shelf:max_side+native,False,,,0,,,0.0001,
n300,shelf:target_xy+narrow,False,,,0,,,0.0002,
n300,shelf:target_xy+wide,False,,,0,,,0.0003,
n300,shelf:target_xy+native,False,,,0,,,0.0001,
n300,shelf:target_yx+narrow,False,,,0,,,0.0002,
n300,shelf:target_yx+wide,False,,,0,,,0.0002,
n300,shelf:target_yx+native,False,,,0,,,0.0001,
n300,shelf:serpentine_x+narrow,False,,,0,,,0.0002,
n300,shelf:serpentine_x+wide,False,,,0,,,0.0002,
n300,shelf:serpentine_x+native,False,,,0,,,0.0001,
n300,shelf:serpentine_y+narrow,False,,,0,,,0.0002,
n300,shelf:serpentine_y+wide,False,,,0,,,0.0002,
n300,shelf:serpentine_y+native,False,,,0,,,0.0001,
n300,shelf:centre_first+narrow,False,,,0,,,0.0002,
n300,shelf:centre_first+wide,False,,,0,,,0.0002,
n300,shelf:centre_first+native,False,,,0,,,0.0001,
n300,shelf:perimeter_first+narrow,False,,,0,,,0.0002,
n300,shelf:perimeter_first+wide,False,,,0,,,0.0002,
n300,shelf:perimeter_first+native,False,,,0,,,0.0001,
n300,shelf:degree_area_rev+narrow,False,,,0,,,0.0002,
n300,shelf:degree_area_rev+wide,False,,,0,,,0.0002,
n300,shelf:degree_area_rev+native,False,,,0,,,0.0001,
n300,shelf:target_xy_rev+narrow,False,,,0,,,0.0002,
n300,shelf:target_xy_rev+wide,False,,,0,,,0.0002,
n300,shelf:target_xy_rev+native,False,,,0,,,0.0001,
n300,maxrects:degree_area+wire,False,,,0,,,5.6949,
n300,maxrects:degree_area+target,False,,,0,,,4.0794,
n300,maxrects:degree_area+fit,False,,,0,,,3.8993,
n300,maxrects:area_degree+wire,False,,,0,,,6.0644,
n300,maxrects:area_degree+target,False,,,0,,,4.2473,
n300,maxrects:area_degree+fit,False,,,0,,,3.3996,
n300,maxrects:target_xy+wire,False,,,0,,,4.5619,
n300,maxrects:target_xy+target,False,,,0,,,5.1887,
n300,maxrects:target_xy+fit,False,,,0,,,4.4679,
n300,maxrects:target_yx+wire,False,,,0,,,5.6348,
n300,maxrects:target_yx+target,False,,,0,,,5.2250,
n300,maxrects:target_yx+fit,False,,,0,,,4.4795,
