chip,side,area_lower_bound,block_side_lower_bound,terminal_coordinate_side,deadspace_ratio,feasible,method,runtime_sec
n100,424,424,67,444,0.0015320248912262327,False,,0.2114
n100,425,424,67,444,0.006261803555411947,False,,0.2129
n100,426,424,67,444,0.01100272421880658,False,,0.2108
n100,427,424,67,444,0.015754786881410132,False,,0.2136
n100,428,424,67,444,0.0205179915432226,False,,0.2204
n100,429,424,67,444,0.025292338204243987,False,,0.2169
n100,430,424,67,444,0.030077826864474293,False,,0.2196
n100,431,424,67,444,0.034874457523913514,False,,0.2329
n100,432,424,67,444,0.03968223018256166,False,,0.2373
n100,433,424,67,444,0.04450114484041871,False,,0.2369
n100,434,424,67,444,0.04933120149748469,False,,0.2486
n100,435,424,67,444,0.05417240015375959,False,,0.2544
n100,436,424,67,444,0.0590247408092434,False,,0.2530
n100,437,424,67,444,0.06388822346393613,False,,0.2640
n100,438,424,67,444,0.06876284811783778,False,,0.2717
n100,439,424,67,444,0.07364861477094835,True,rectpack:MaxRectsBssf:SORT_AREA,0.0263
n200,420,420,48,438,0.004006921045442128,False,,1.2381
n200,421,420,48,438,0.008793598032966032,False,,1.2246
n200,422,420,48,438,0.013591658318914488,False,,1.2763
n200,423,420,48,438,0.018401101903287496,False,,1.3170
n200,424,420,48,438,0.023221928786085057,False,,1.3279
n200,425,420,48,438,0.028054138967307168,False,,1.3486
n200,426,420,48,438,0.03289773244695383,False,,1.3741
n200,427,420,48,438,0.03775270922502504,False,,1.4215
n200,428,420,48,438,0.04261906930152081,False,,1.4229
n200,429,420,48,438,0.047496812676441125,False,,1.4582
n200,430,420,48,438,0.05238593934978599,False,,1.4666
n200,431,420,48,438,0.05728644932155541,False,,1.4964
n200,432,420,48,438,0.06219834259174938,True,rectpack:MaxRectsBssf:SORT_LSIDE,0.3067
n300,523,523,48,548,0.0013141999487498628,False,,3.5122
n300,524,523,48,548,0.005146978072262693,False,,3.5931
n300,525,523,48,548,0.008987077643957975,False,,3.7055
n300,526,523,48,548,0.012834498663835707,False,,3.7580
n300,527,523,48,548,0.01668924113189589,False,,3.8032
n300,528,523,48,548,0.020551305048138523,False,,3.9256
n300,529,523,48,548,0.024420690412563607,False,,4.0212
n300,530,523,48,548,0.028297397225171137,False,,4.1858
n300,531,523,48,548,0.032181425485961125,False,,4.2157
n300,532,523,48,548,0.03607277519493356,False,,4.1568
n300,533,523,48,548,0.03997144635208844,False,,4.3579
n300,534,523,48,548,0.04387743895742578,False,,4.3275
n300,535,523,48,548,0.04779075301094556,False,,4.4484
n300,536,523,48,548,0.0517113885126478,False,,4.5257
n300,537,523,48,548,0.05563934546253249,True,rectpack:MaxRectsBssf:SORT_LSIDE,0.9009
